user_uid,following_uid
375375,8366990
375375,2374194
375375,2920960
375375,11332884
375375,53456
375375,472747194
375375,163637592
375375,43855
375375,647950
375375,235555226
375375,227933
375375,8047632
375375,15067942
375375,320772967
375375,7792521
375375,777536
375375,6355324
375375,185546
375375,546195
375375,593062
375375,168598
375375,7714
375375,500198
375375,2467568
375375,1770706
375375,311888
375375,23534705
375375,1532165
375375,1951038
375375,423442
375375,322892
375375,808171
375375,5560826
375375,4838429
375375,838762
375375,99224
375375,891124
375375,201434
375375,423895
375375,142917
375375,122879
375375,319291
375375,328212
375375,1492
375375,36931
176037767,9099524
176037767,32708362
176037767,85835398
176037767,1328260
176037767,4162287
176037767,390461123
176037767,476503602
176037767,123938419
176037767,437316738
176037767,808171
176037767,374716732
176037767,32786875
176037767,375375
176037767,17409016
176037767,4474705
176037767,122879
176037767,217548783
176037767,3032988
176037767,384212323
176037767,37090048
176037767,53579195
176037767,335076666
176037767,250858633
176037767,290526283
176037767,1643718
176037767,32820037
176037767,27149129
176037767,9824766
176037767,1532165
450595813,946974
450595813,4474705
450595813,116683
450595813,326246517
450595813,10119428
450595813,23604445
450595813,36267054
450595813,119801456
450595813,393170813
450595813,163404472
450595813,244135714
450595813,151365295
450595813,454351818
450595813,1885078
450595813,651723984
450595813,9099524
450595813,489117797
450595813,26240979
450595813,163637592
450595813,51417957
450595813,37090048
450595813,17730758
450595813,407564844
450595813,517327498
450595813,16206007
450595813,152015773
450595813,295711424
450595813,6574487
450595813,549222
450595813,8366990
450595813,75912367
450595813,453531908
450595813,6739643
450595813,11870568
450595813,19696996
450595813,113362335
450595813,1420982
450595813,33523307
450595813,142371069
450595813,7875104
450595813,235555226
450595813,22257030
450595813,108133501
450595813,466272
4162287,388362147
4162287,163637592
4162287,26139491
4162287,423442
4162287,176003
4162287,433351
4162287,176037767
4162287,684169
4162287,7391373
4162287,562197
4162287,43536
4162287,256763
4162287,15834498
4162287,351007
4162287,2976992
4162287,901072
4162287,3337724
604003146,417267978
604003146,37090048
604003146,62540916
6574487,94114029
6574487,9099524
6574487,10119428
6574487,345630501
6574487,16206007
6574487,12076317
6574487,196356191
6574487,517327498
6574487,544368017
6574487,436473455
6574487,337521240
6574487,99157282
6574487,5465995
6574487,18202105
6574487,113362335
6574487,450595813
6574487,19642758
6574487,25782796
6574487,412466388
6574487,9824766
6574487,17409016
6574487,3957971
6574487,62540916
6574487,163637592
6574487,11870568
